Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANOIL,2009-10-15,3,01-O,2010,INDONESIA,0,13,251,0,0,264,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,"CHINA, PEOPLES REPUBLIC OF",0,0,52,0,0,52,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,"KOREA, REPUBLIC OF",0,1000,0,0,0,1000,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,HONG KONG,0,0,3038,3000,3000,3038,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,AUSTRALIA,59,95,486,80,80,581,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,MOROCCO,0,0,38000,0,0,38000,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,TUNISIA,0,0,12000,0,0,12000,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,GUAM,0,19,0,0,0,19,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,UNKNOWN,0,0,387750,0,0,387750,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,CANADA,908,2267,7377,616,614,9644,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,MEXICO,1645,6683,48653,2093,1513,55336,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,GUATEMALA,19,1319,1021,1000,1000,2340,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,HONDURAS,19,19,19,0,0,38,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,NICARAGUA,0,0,5400,0,0,5400,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,COSTA RICA,0,0,500,500,500,500,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,PANAMA,0,46,372,24,24,418,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,CUBA,0,7600,5190,0,0,12790,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,JAMAICA,3168,3168,3000,0,0,6168,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,HAITI,0,3500,4773,0,0,8273,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,DOMINICAN REPUBLIC,0,6310,10000,0,-6000,16310,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,LEEWARD-WINDWARD ISLANDS,0,0,25,0,0,25,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,BARBADOS,0,0,15,0,0,15,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,TRINIDAD AND TOBAGO,23,124,750,23,23,874,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,NETHERLANDS ANTILLES,17,17,0,0,0,17,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,COLOMBIA,0,0,5740,0,0,5740,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,VENEZUELA,0,6000,12000,0,0,18000,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,PERU,5000,5000,50000,3449,19949,55000,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,CYPRUS,23,46,0,0,0,46,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,LEBANON,48,59,132,0,0,191,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,SAUDI ARABIA,116,270,1611,0,0,1881,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,QATAR,0,0,20,0,0,20,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,UNITED ARAB EMIRATES,0,0,20,0,0,20,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,INDIA,0,0,3300,0,0,3300,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,MALAYSIA,0,0,4000,0,0,4000,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,SINGAPORE,19,38,0,19,19,38,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,INDONESIA,0,13,251,0,0,264,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,"CHINA, PEOPLES REPUBLIC OF",0,0,52,0,0,52,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,"KOREA, REPUBLIC OF",0,1000,0,0,0,1000,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,HONG KONG,0,0,3038,0,0,3038,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,AUSTRALIA,48,143,487,49,49,630,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,MOROCCO,14500,14500,25500,2000,2000,40000,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,TUNISIA,2000,2000,10000,0,0,12000,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,GUAM,0,19,0,0,0,19,0,0,1
SOYBEANOIL,2009-10-22,4,01-O,2010,UNKNOWN,0,0,377250,0,-10500,377250,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,CANADA,458,2725,7215,296,296,9940,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,MEXICO,2256,8939,46416,23,19,55355,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,GUATEMALA,0,1319,2221,1200,1200,3540,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,HONDURAS,0,19,19,0,0,38,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,NICARAGUA,0,0,5400,0,0,5400,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,COSTA RICA,0,0,0,0,-500,0,0,0,1
