CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month
2010,9,15079019,21,455,MT,1,917800,610,609510,575134,SOYBEAN OIL,MYS,Malaysia,609.51,2010,9
2010,2,15079011,21,845,SP,7,1010252,18,18050,19837,SOYBEAN OIL,URY,Uruguay,18.05,2010,2
2010,4,15079011,21,580,SC,1,920600,20,19884,23986,SOYBEAN OIL,PAN,Panama,19.884,2010,4
2010,4,15079090,21,249,SP,4,817600,35,4,66,SOYBEAN OIL,USA,United States,0.004,2010,4
2010,12,15079019,21,193,PR,1,927700,110,109730,98757,SOYBEAN OIL,CIV,Cote D'Ivore,109.73,2010,12
2010,6,15079011,21,586,MT,9,145300,50,49710,53386,SOYBEAN OIL,PRY,Paraguay,49.71,2010,6
2010,5,15079011,21,845,RS,9,1010955,216,216,586,SOYBEAN OIL,URY,Uruguay,0.216,2010,5
2010,3,15079011,21,845,SC,7,1015500,125,124275,139650,SOYBEAN OIL,URY,Uruguay,124.275,2010,3
2010,7,15079011,21,586,MT,7,910600,133,132800,145209,SOYBEAN OIL,PRY,Paraguay,132.8,2010,7
2010,1,15079011,21,586,MT,7,145300,12,12428,16457,SOYBEAN OIL,PRY,Paraguay,12.428,2010,1
2010,5,15079011,21,845,SP,9,1010955,0,0,48,SOYBEAN OIL,URY,Uruguay,0.0,2010,5
2010,8,15079011,21,586,PR,7,910600,176,175099,193144,SOYBEAN OIL,PRY,Paraguay,175.099,2010,8
2010,1,15079019,21,815,SC,1,920600,44,43520,42202,SOYBEAN OIL,TTO,Trinidad and Tobago,43.52,2010,1
2010,6,15079011,21,845,SC,7,1015500,150,150324,157896,SOYBEAN OIL,URY,Uruguay,150.324,2010,6
2010,7,15079019,21,193,PR,1,927700,109,109250,92863,SOYBEAN OIL,CIV,Cote D'Ivore,109.25,2010,7
2010,11,15079011,21,097,ZN,4,145200,355,356175,478738,SOYBEAN OIL,BOL,Bolivia,356.175,2010,11
2010,1,15079011,21,770,SC,1,920600,25,24855,31419,SOYBEAN OIL,SUR,Suriname,24.855,2010,1
2010,10,15079090,21,845,SP,7,1015500,1,736,1932,SOYBEAN OIL,URY,Uruguay,0.736,2010,10
2010,3,15079011,21,586,GO,7,145300,20,64,284,SOYBEAN OIL,PRY,Paraguay,0.064,2010,3
2010,12,15079011,21,097,MT,7,230151,68,67938,99390,SOYBEAN OIL,BOL,Bolivia,67.938,2010,12
2010,9,15079011,21,589,SC,1,920600,343,343918,416307,SOYBEAN OIL,PER,Peru,343.918,2010,9
2010,9,15079011,21,249,ND,1,817800,1,1350,2083,SOYBEAN OIL,USA,United States,1.35,2010,9
2010,4,15079019,21,815,SC,1,920600,176,175440,162325,SOYBEAN OIL,TTO,Trinidad and Tobago,175.44,2010,4
2010,4,15079011,21,586,MS,7,145300,50,50078,50820,SOYBEAN OIL,PRY,Paraguay,50.078,2010,4
2010,7,15079011,21,331,MG,1,817800,30,4500,6375,SOYBEAN OIL,GNQ,Equatorial Guinea,4.5,2010,7
2010,10,15079011,21,770,SP,1,817800,92,92041,122968,SOYBEAN OIL,SUR,Suriname,92.041,2010,10
2010,3,15079011,21,097,AC,7,230151,20,19920,23095,SOYBEAN OIL,BOL,Bolivia,19.92,2010,3
2010,1,15079011,21,097,ZN,4,145200,225,223529,276908,SOYBEAN OIL,BOL,Bolivia,223.529,2010,1
2010,11,15079019,21,289,SC,1,927700,43,43320,54887,SOYBEAN OIL,GHA,Ghana,43.32,2010,11
2010,11,15079090,21,528,MG,1,817800,67,6668,10046,SOYBEAN OIL,NGA,Nigeria,6.668,2010,11
2010,8,15079011,21,845,SP,7,1010252,79,79240,80388,SOYBEAN OIL,URY,Uruguay,79.24,2010,8
2010,8,15079011,21,337,MT,1,817800,75,75116,80306,SOYBEAN OIL,GUY,Guyana,75.116,2010,8
2010,6,15079011,21,845,RS,7,1015500,8,8251,10074,SOYBEAN OIL,URY,Uruguay,8.251,2010,6
2010,7,15079011,21,586,PR,9,145300,1,597,740,SOYBEAN OIL,PRY,Paraguay,0.597,2010,7
2010,11,15079019,21,169,PR,1,917800,1500,1500000,1575000,SOYBEAN OIL,COL,Colombia,1500.0,2010,11
2010,12,15079019,21,169,SC,1,917800,2000,2000000,2347680,SOYBEAN OIL,COL,Colombia,2000.0,2010,12
2010,9,15079019,21,199,PR,1,917800,7600,7600000,6937788,SOYBEAN OIL,CUB,Cuba,7600.0,2010,9
2010,2,15079019,21,193,PR,1,927700,109,109290,87432,SOYBEAN OIL,CIV,Cote D'Ivore,109.29,2010,2
2010,9,15079011,21,239,SC,1,920600,75,74565,88013,SOYBEAN OIL,ECU,Ecuador,74.565,2010,9
2010,4,15079011,21,589,SC,1,920600,966,966901,1101587,SOYBEAN OIL,PER,Peru,966.901,2010,4
2010,4,15079011,21,845,SP,7,1010252,158,158479,164419,SOYBEAN OIL,URY,Uruguay,158.479,2010,4
2010,4,15079090,21,845,SP,7,1015500,1,552,1674,SOYBEAN OIL,URY,Uruguay,0.552,2010,4
2010,7,15079019,21,199,PR,1,917800,7550,7550000,6741037,SOYBEAN OIL,CUB,Cuba,7550.0,2010,7
2010,5,15079019,21,815,SC,1,920600,110,109920,96062,SOYBEAN OIL,TTO,Trinidad and Tobago,109.92,2010,5
2010,11,15079011,21,586,GO,7,145300,2,1656,1995,SOYBEAN OIL,PRY,Paraguay,1.656,2010,11
2010,10,15079011,21,586,SP,7,145300,0,60,221,SOYBEAN OIL,PRY,Paraguay,0.06,2010,10
2010,10,15079011,21,586,MS,7,145300,100,98713,130902,SOYBEAN OIL,PRY,Paraguay,98.713,2010,10
2010,12,15079090,21,850,SC,1,920600,1491,1491300,1848516,SOYBEAN OIL,VEN,Venezuela,1491.3,2010,12
2010,11,15079011,21,845,RS,7,1015500,13,12759,18929,SOYBEAN OIL,URY,Uruguay,12.759,2010,11
2010,1,15079011,21,845,SC,7,1015500,100,99420,116100,SOYBEAN OIL,URY,Uruguay,99.42,2010,1
2010,1,15079019,21,069,PR,1,917800,2020,2020000,1919000,SOYBEAN OIL,AUS,Australia,2020.0,2010,1
2010,12,15079011,21,589,SC,1,920600,150,149130,227115,SOYBEAN OIL,PER,Peru,149.13,2010,12
2010,10,15079011,21,815,SP,1,817800,34,33700,43346,SOYBEAN OIL,TTO,Trinidad and Tobago,33.7,2010,10
2010,5,15079011,21,845,RS,7,1015500,20,21600,23416,SOYBEAN OIL,URY,Uruguay,21.6,2010,5
2010,10,15079011,21,586,MT,7,910600,107,107070,133355,SOYBEAN OIL,PRY,Paraguay,107.07,2010,10
2010,2,15079011,21,845,SC,7,1010252,250,248550,285300,SOYBEAN OIL,URY,Uruguay,248.55,2010,2
2010,5,15079011,21,845,SP,7,1010252,158,158479,163950,SOYBEAN OIL,URY,Uruguay,158.479,2010,5
2010,8,15079019,21,069,PR,1,917800,1400,1400000,1148000,SOYBEAN OIL,AUS,Australia,1400.0,2010,8
2010,2,15079011,21,586,MS,7,145300,50,50078,52840,SOYBEAN OIL,PRY,Paraguay,50.078,2010,2
2010,2,15079011,21,580,SC,1,920600,21,20547,24507,SOYBEAN OIL,PAN,Panama,20.547,2010,2
2010,9,15079011,21,770,SC,1,920600,175,173985,204034,SOYBEAN OIL,SUR,Suriname,173.985,2010,9
2010,4,15079019,21,069,PR,1,920600,153,153400,130390,SOYBEAN OIL,AUS,Australia,153.4,2010,4
2010,8,15079011,21,586,PR,7,145300,1,597,723,SOYBEAN OIL,PRY,Paraguay,0.597,2010,8
2010,9,15079019,21,455,SC,1,917800,2896,2896100,2732760,SOYBEAN OIL,MYS,Malaysia,2896.1,2010,9
2010,9,15079019,21,586,MT,9,145300,40,24026,30501,SOYBEAN OIL,PRY,Paraguay,24.026,2010,9
2010,7,15079011,21,249,ND,1,817800,0,396,554,SOYBEAN OIL,USA,United States,0.396,2010,7
2010,11,15079011,21,040,SC,1,920600,75,74550,94625,SOYBEAN OIL,AGO,Angola,74.55,2010,11
2010,5,15079019,21,069,PR,1,917800,1700,1700000,1445000,SOYBEAN OIL,AUS,Australia,1700.0,2010,5
2010,7,15079019,21,586,MT,9,145300,20,12013,13149,SOYBEAN OIL,PRY,Paraguay,12.013,2010,7
2010,5,15079019,21,341,PR,1,917800,4251,4250000,3697499,SOYBEAN OIL,HTI,Haiti,4250.0,2010,5
2010,12,15079019,21,097,MT,7,230151,8,7740,10087,SOYBEAN OIL,BOL,Bolivia,7.74,2010,12
2010,11,15079011,21,586,MT,9,145300,99,99420,137760,SOYBEAN OIL,PRY,Paraguay,99.42,2010,11
2010,11,15079011,21,040,PR,1,917800,3,2726,5357,SOYBEAN OIL,AGO,Angola,2.726,2010,11
2010,7,15079019,21,190,PR,1,920600,88,87260,89875,SOYBEAN OIL,KOR,South Korea,87.26,2010,7
2010,7,15079011,21,399,SP,1,817800,1,540,799,SOYBEAN OIL,JPN,Japan,0.54,2010,7
2010,3,15079011,21,845,SC,7,1010252,125,124275,138750,SOYBEAN OIL,URY,Uruguay,124.275,2010,3
2010,3,15079011,21,169,SC,1,920600,149,149040,161935,SOYBEAN OIL,COL,Colombia,149.04,2010,3
2010,3,15079019,21,190,PR,1,920600,173,173290,182301,SOYBEAN OIL,KOR,South Korea,173.29,2010,3
2010,11,15079011,21,586,PR,7,910600,91,75945,99894,SOYBEAN OIL,PRY,Paraguay,75.945,2010,11
2010,10,15079011,21,337,MT,1,817800,75,75116,84429,SOYBEAN OIL,GUY,Guyana,75.116,2010,10
2010,10,15079011,21,845,SC,7,1010252,175,173985,199500,SOYBEAN OIL,URY,Uruguay,173.985,2010,10
2010,2,15079019,21,548,PR,1,917800,129,129210,114997,SOYBEAN OIL,NZL,New Zealand,129.21,2010,2
2010,9,15079011,21,586,MS,7,145300,150,149886,189712,SOYBEAN OIL,PRY,Paraguay,149.886,2010,9
