Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,THAILAND,0,0,5400,0,0,5400,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,VIETNAM,0,298,32866,500,500,33164,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,MALAYSIA,506,506,10294,0,0,10800,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,SINGAPORE,0,0,330,0,0,330,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,INDONESIA,381,381,59583,4500,4496,59964,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,PHILIPPINES,697,44430,231471,1500,1500,275901,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,"CHINA, PEOPLES REPUBLIC OF",499,975,4000,0,-18,4975,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,"KOREA, REPUBLIC OF",0,0,55000,0,0,55000,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,HONG KONG,239,354,1090,100,62,1444,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,JAPAN,1155,6268,53321,3048,-7070,59589,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,AUSTRALIA,0,0,94526,0,0,94526,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,"OTHER PACIFIC ISLANDS, NEC",100,380,540,0,0,920,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,EGYPT,0,0,30000,0,0,30000,0,0,1
SOYBEANCAKE&MEAL,2009-10-15,3,01-O,2010,UNKNOWN,0,0,1551400,7900,-19100,1551400,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,CANADA,22955,65357,357327,12913,12476,422684,15744,285,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,MEXICO,3662,44080,227725,49350,49350,271805,2880,2880,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,GUATEMALA,0,0,93468,637,637,93468,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,BELIZE,0,0,500,0,0,500,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,HONDURAS,11000,11000,11400,0,-400,22400,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,NICARAGUA,0,2565,1200,0,-100,3765,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,COSTA RICA,0,3038,0,0,0,3038,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,PANAMA,13207,13207,28548,927,927,41755,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,JAMAICA,0,6841,22200,0,0,29041,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,DOMINICAN REPUBLIC,0,0,176740,18500,18500,176740,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,LEEWARD-WINDWARD ISLANDS,0,0,200,0,0,200,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,TRINIDAD AND TOBAGO,0,1888,4200,0,0,6088,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,FRENCH WEST INDIES,0,200,9780,0,0,9980,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,COLOMBIA,0,0,83842,1400,1400,83842,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,VENEZUELA,21500,30500,2000,0,0,32500,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,SURINAM,0,0,1200,0,0,1200,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,PERU,11000,33000,36000,1000,11000,69000,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,UNITED KINGDOM,0,0,33000,0,0,33000,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,IRELAND,0,7319,86331,26650,26650,93650,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,FRANCE,0,0,20500,0,0,20500,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,GERMANY,0,0,33000,0,0,33000,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,LATVIA,25528,25528,0,0,25528,25528,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,TURKEY,0,0,63000,0,0,63000,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,SYRIA,0,0,22500,0,0,22500,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,BANGLADESH,0,0,31,0,0,31,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,SRI LANKA,0,0,220,220,220,220,0,0,1
SOYBEANCAKE&MEAL,2009-10-22,4,01-O,2010,THAILAND,0,0,5400,0,0,5400,0,0,1
